"species";"Class";"IUCN";"Total_validated";"Species validation %";"No photography available %"
"Anous stolidus";"Aves";"LC";4;100;25
"Balaenoptera acutorostrata";"Mammalia";"LC";9;88,9;0
"Balaenoptera edeni";"Mammalia";"LC";14;100;78,6
"Balaenoptera physalus";"Mammalia";"VU";1;NA;100
"Calidris alba";"Aves";"LC";8;100;25
"Calidris canutus";"Aves";"NT";3;100;0
"Calidris fuscicollis";"Aves";"LC";5;50;20
"Calonectris borealis";"Aves";"LC";20;94,4;10
"Calonectris edwardsii";"Aves";"NT";2;50;0
"Caretta caretta";"Reptilia";"VU";80;94,4;11,2
"Charadrius collaris";"Aves";"LC";1;100;0
"Charadrius semipalmatus";"Aves";"LC";6;100;0
"Chelonia mydas";"Reptilia";"EN";1575;99,2;8,2
"Larus cirrocephalus";"Aves";"LC";1;0;0
"Larus maculipennis";"Aves";"LC";2;100;0
"Daption capense";"Aves";"LC";15;100;6,7
"Delphinus delphis";"Mammalia";"LC";2;NA;100
"Dermochelys coriacea";"Reptilia";"VU";20;100;0
"Diomedea epomophora";"Aves";"VU";2;100;50
"Eretmochelys imbricata";"Reptilia";"CR";28;100;10,7
"Eubalaena australis";"Mammalia";"LC";7;100;0
"Fregata magnificens";"Aves";"LC";89;98,6;21,3
"Fulmarus glacialoides";"Aves";"LC";3;100;0
"Haematopus palliatus";"Aves";"LC";16;100;6,2
"Halobaena caerulea";"Aves";"LC";1;100;0
"Himantopus himantopus";"Aves";"LC";10;90;0
"Kogia breviceps";"Mammalia";"LC";7;NA;100
"Kogia sima";"Mammalia";"LC";6;NA;100
"Lagenodelphis hosei";"Mammalia";"LC";1;100;0
"Larus atlanticus";"Aves";"NT";1;0;0
"Larus dominicanus";"Aves";"LC";226;99,3;32,3
"Lepidochelys olivacea";"Reptilia";"VU";13;100;23,1
"Macronectes giganteus";"Aves";"LC";37;100;8,1
"Macronectes halli";"Aves";"LC";3;100;33,3
"Megaptera novaeangliae";"Mammalia";"LC";33;100;24,2
"Oceanites oceanicus";"Aves";"LC";15;100;20
"Onychoprion fuscatus";"Aves";"LC";1;100;0
"Orcinus orca";"Mammalia";"DD";1;100;0
"Pachyptila belcheri";"Aves";"LC";9;80;44,4
"Pachyptila desolata";"Aves";"LC";12;100;33,3
"Pachyptila vittata";"Aves";"LC";2;0;0
"Phocoena dioptrica";"Mammalia";"LC";2;100;0
"Physeter macrocephalus";"Mammalia";"VU";1;100;0
"Pluvialis dominica";"Aves";"LC";4;75;0
"Pontoporia blainvillei";"Mammalia";"VU";161;100;9,9
"Procellaria aequinoctialis";"Aves";"VU";110;97,2;3,6
"Procellaria conspicillata";"Aves";"VU";3;100;0
"Pseudorca crassidens";"Mammalia";"NT";1;100;0
"Pterodroma arminjoniana";"Aves";"VU";1;NA;100
"Pterodroma incerta";"Aves";"EN";12;87,5;33,3
"Pterodroma mollis";"Aves";"LC";9;100;11,1
"Ardenna gravis";"Aves";"LC";24;85;16,7
"Ardenna grisea";"Aves";"NT";19;94,4;5,3
"Puffinus puffinus";"Aves";"LC";510;98,2;25,1
"Rynchops niger";"Aves";"LC";18;92,3;27,8
"Sotalia guianensis";"Mammalia";"NT";60;100;6,7
"Spheniscus magellanicus";"Aves";"LC";643;100;28,6
"Stenella clymene";"Mammalia";"LC";1;NA;100
"Stenella coeruleoalba";"Mammalia";"LC";3;100;33,3
"Stenella frontalis";"Mammalia";"LC";44;100;38,6
"Stenella longirostris";"Mammalia";"LC";1;100;0
"Steno bredanensis";"Mammalia";"LC";12;100;16,7
"Stercorarius antarcticus";"Aves";"LC";9;62,5;11,1
"Catharacta chilensis";"Aves";"LC";10;100;10
"Stercorarius longicaudus";"Aves";"LC";4;100;50
"Catharacta maccormicki";"Aves";"LC";4;100;25
"Stercorarius parasiticus";"Aves";"LC";10;77,8;10
"Stercorarius pomarinus";"Aves";"LC";2;100;0
"Sterna hirundinacea";"Aves";"LC";29;82,6;20,7
"Sterna hirundo";"Aves";"LC";18;76,5;5,6
"Sterna trudeaui";"Aves";"LC";4;100;0
"Sula dactylatra";"Aves";"LC";2;100;0
"Sula leucogaster";"Aves";"LC";158;98,5;17,1
"Thalassarche chlororhynchos";"Aves";"EN";83;98,6;10,8
"Thalassarche melanophris";"Aves";"LC";100;96,9;3
"Thalasseus sandvicensis";"Aves";"LC";29;100;6,9
"Thalasseus maximus";"Aves";"LC";16;80;6,2
"Tringa melanoleuca";"Aves";"LC";3;100;33,3
"Tringa solitaria";"Aves";"LC";1;0;0
"Tursiops truncatus";"Mammalia";"LC";15;100;0
"Xema sabini";"Aves";"LC";1;100;0
"Ziphius cavirostris";"Mammalia";"LC";1;100;0
